X,Y,Z
-0.0417069,-0.559006,-1.7723
-0.0351563,-0.559246,-1.77127
-0.0351563,-0.558087,-1.77208
-0.0339982,-0.559006,-1.7723
-0.183594,-0.568013,-1.76811
-0.160156,-0.568146,-1.76755
-0.152344,-0.568152,-1.76752
-0.102196,-0.566612,-1.77408
-0.105469,-0.563918,-1.77345
-0.105469,-0.567919,-1.76851
-0.0820313,-0.567613,-1.76981
-0.0742188,-0.567108,-1.77197
-0.0351563,-0.560413,-1.77263
-0.200154,-0.574217,-1.77587
-0.199219,-0.575178,-1.77177
-0.199219,-0.573462,-1.77569
-0.198165,-0.574217,-1.77587
-0.160156,-0.575066,-1.77225
-0.152344,-0.569187,-1.77469
-0.158178,-0.574217,-1.77587
-0.14639,-0.574217,-1.77587
-0.136719,-0.571781,-1.77529
-0.140947,-0.574217,-1.77587
-0.128906,-0.572532,-1.77547
-0.121094,-0.570258,-1.77494
-0.105469,-0.569388,-1.76671
-0.0976563,-0.570543,-1.775
-0.0976563,-0.569003,-1.76662
-0.0898438,-0.56706,-1.77419
-0.0820313,-0.575504,-1.77038
-0.0820313,-0.571292,-1.77518
-0.0273438,-0.575298,-1.77126
-0.0242505,-0.576003,-1.76826
-0.199219,-0.574662,-1.77597
-0.183594,-0.57644,-1.77639
-0.187828,-0.581823,-1.77765
-0.175781,-0.576722,-1.77645
-0.167969,-0.578203,-1.7768
-0.0273438,-0.577745,-1.7767
-0.0289055,-0.581823,-1.77765
-0.0273438,-0.582258,-1.7758
-0.183594,-0.585755,-1.77858
-0.175781,-0.585181,-1.77844
-0.167969,-0.584285,-1.77823
0.128906,-0.583451,-1.77071
0.130085,-0.583608,-1.77005
0.128906,-0.584801,-1.77033
0.144531,-0.589914,-1.77737
0.1398,-0.591214,-1.77183
0.144531,-0.588031,-1.77108
0.152344,-0.586621,-1.77075
0.152344,-0.589574,-1.77882
-0.463182,-0.60464,-1.78301
-0.457031,-0.605463,-1.7795
-0.457031,-0.601135,-1.78219
-0.453431,-0.60464,-1.78301
0.0351563,-0.535129,-1.77145
-0.0351563,-0.558804,-1.77316
-0.105469,-0.565395,-1.77926
-0.199219,-0.574081,-1.77645
-0.169355,-0.572432,-1.78347
-0.167969,-0.572707,-1.7823
-0.167969,-0.571279,-1.7832
-0.160156,-0.573008,-1.78102
-0.160156,-0.571762,-1.78332
-0.152344,-0.569084,-1.78269
-0.14912,-0.572432,-1.78347
-0.136719,-0.573963,-1.77695
